"survey","item","variable","values"
"eb701","PT_natgov_2","v228","c(2:1)"
"eb711","PT_natgov_2","v193","c(2:1)"
"eb713","PT_natgov_2","v217","c(2:1)"
"eb724","PT_natgov_2","v214","c(2:1)"
"eb734","PT_natgov_2","v271","c(2:1)"
"eb742","PT_natgov_2","v300","c(2:1)"
"eb753","PT_natgov_2","v310","c(2:1)"
"eb763","PT_natgov_2","qa10_6","c(2:1)"
"eb773","PT_natgov_2","qa13_2","c(2:1)"
"eb781","PT_natgov_2","qa11_6","c(2:1)"
"eb793","PT_natgov_2","qa12_2","c(2:1)"
"eb801","PT_natgov_2","qa10_6","c(2:1)"
"eb812","PT_natgov_2","qa7_2","c(2:1)"
"eb814","PT_natgov_2","qa9_2","c(2:1)"
"eb823","PT_natgov_2","qa8a_11","c(2:1)"
"eb833","PT_natgov_2","qa8a_6","c(2:1)"
"eb843","PT_natgov_2","qa8a_8","c(2:1)"
"eb852","PT_natgov_2","qa8a_7","c(2:1)"
"eb862","PT_natgov_2","qa8a_12","c(2:1)"
"eb873","PT_natgov_2","qa8a_7","c(2:1)"
"eb883","PT_natgov_2","qa8a_12","c(2:1)"
"eb891","PT_natgov_2","qa8a_8","c(2:1)"
"eb903","PT_natgov_2","qa8a_12","c(2:1)"
"eb912","PT_natgov_2","qa3_4","c(2:1)"
"eb915","PT_natgov_2","qa6a_8","c(2:1)"
"eb923","PT_natgov_2","qa6a_12","c(2:1)"
"cceb2002","PT_natgov_2","q13_12","c(2:1)"
"cceb2003_5","PT_natgov_2","q9_12","c(2:1)"
"cceb2003_11","PT_natgov_2","q10_12","c(2:1)"
"cceb2004","PT_natgov_2","q7_11","c(2:1)"
"intune2007","PT_natgov_11","q5_3","c(1:11)"
"intune2009","PT_natgov_11","q5_3","c(1:11)"
"ases2000","PT_natgov_4","v0047","c(4:1)"
"eqls_combo","PT_natgov_10","y16_q35e","c(1:10)"
"lits_wave1","PT_natgov_5","q303_2","c(1:5)"
"lits_wave2","PT_natgov_5","q303b","c(1:5)"
"lits_wave3","PT_natgov_5","q404b","c(1:5)"
"caucasusb2008","PT_natgov_5","truexec","c(1:5)"
"caucasusb2009","PT_natgov_5","truexec","c(1:5)"
"caucasusb2010","PT_natgov_5","truexec","c(1:5)"
"caucasusb2011","PT_natgov_5","truexec","c(1:5)"
"caucasusb2012","PT_natgov_5","truexec","c(1:5)"
"caucasusb2013","PT_natgov_5","truexec","c(1:5)"
"caucasusb2015","PT_natgov_5","truexec","c(1:5)"
"caucasusb2017","PT_natgov_5","truexec","c(1:5)"
"caucasusb2019","PT_natgov_5","truexec","c(1:5)"
"isjp_comb9196","PT_natgov_right_5","v193","c(5:1)"
"vpcpce_czechpublic","PT_natgov_5","q6f","c(5:1)"
"vpcpce_hungarianpublic","PT_natgov_5","q6f","c(5:1)"
"vpcpce_russianpublic","PT_natgov_5","q6f","c(5:1)"
"vpcpce_slovakianpublic","PT_natgov_5","q6f","c(5:1)"
"vpcpce_ukrainianpublic","PT_natgov_5","q6f","c(5:1)"
"pa_w1","PT_natgov_right_4","v145","c(4:1)"
"pa_w2","PT_natgov_right_4","v1182","c(4:1)"
"wellcome2018","PT_natgov_4","q11b","c(4:1)"
"eunb_wave1","PT_natgov_2","ad3_1","c(2:1)"
"eunb_wave2","PT_natgov_2","ad3_1","c(2:1)"
"eunb_wave3","PT_natgov_2","ad3_1","c(2:1)"
"eunb_wave4","PT_natgov_2","ad3_1","c(2:1)"
"eunb_wave5","PT_natgov_2","ad3_1","c(2:1)"
"eunb_wave6","PT_natgov_2","ad3_1","c(2:1)"
"ees2004","PT_natgov_10","v131","c(1:10)"
"pipa200711","PT_natgov_right_4","ga1","c(4:1)"
"cgss2010","PT_natgov_5","d302","c(1:5)"
"usgss","PT_natgov_right_4","fedtrust","c(4:1)"
"aes1987","PT_natgov_tright_4","q53","c(4:1)"
"aes1993","PT_natgov_right_4","h8fed","c(4:1)"
"aes2010","PT_natgov_4","e8fedgov","c(4:1)"
"aes2016","PT_natgov_4","e9_7","c(4:1)"
"eb931","PT_natgov_2","qa6a_9","c(2:1)"
"eb472","PT_natgov_2","qd9","c(2:1)"
"fsdvoter_combo","PT_natgov_right_4","v49_35","c(4:1)"
"fsdtrust2000","PT_natgov_5","q4_2","c(5:1)"
"fsdelection_combo","PT_natgov_11","fnes297","c(0:10)"
"fsdelection_combo","PT_natgov_right_4","fnes444","c(4:1)"
"fsdeva2018","PT_natgov_5","q5_7","c(5:1)"
"fsdeva2020","PT_natgov_5","q7_7","c(5:1)"
"fsdelection2019","PT_natgov_11","k32_4","c(0:10)"
"allbus","PT_natgov_7","pt12","c(1:7)"
"bsa_combo","PT_natgov_abpty_4","govtrust","c(4:1)"
"bsa1994","PT_natgov_abpty_4","govtrust","c(4:1)"
"bsa1996","PT_natgov_abpty_4","govtrust","c(4:1)"
"bsa1997","PT_natgov_abpty_4","govtrust","c(4:1)"
"bsa1998","PT_natgov_abpty_4","govtrust","c(4:1)"
"bsa2000","PT_natgov_abpty_4","govtrust","c(4:1)"
"bsa2001","PT_natgov_abpty_4","govtrust","c(4:1)"
"bsa2002","PT_natgov_abpty_4","govtrust","c(4:1)"
"bsa2003","PT_natgov_abpty_4","govtrust","c(4:1)"
"bsa2005","PT_natgov_abpty_4","govtrust","c(4:1)"
"bsa2006","PT_natgov_abpty_4","govtrust","c(4:1)"
"bsa2007","PT_natgov_abpty_4","govtrust","c(4:1)"
"bsa2009","PT_natgov_abpty_4","govtrust","c(4:1)"
"bsa2010","PT_natgov_abpty_4","govtrust","c(4:1)"
"bsa2011","PT_natgov_abpty_4","govtrust","c(4:1)"
"bsa2011","PT_natgov_5","trstgov","c(5:1)"
"bsa2012","PT_natgov_abpty_4","govtrust","c(4:1)"
"bsa2013","PT_natgov_abpty_4","govtrust","c(4:1)"
"bsa2014","PT_natgov_4","tstgov","c(4:1)"
"bsa2016","PT_natgov_4","tstgov","c(4:1)"
"bsa2017","PT_natgov_abpty_4","govtrust","c(4:1)"
"bsa2018","PT_natgov_4","tstgov","c(4:1)"
"bsa2019","PT_natgov_abpty_4","govtrust","c(4:1)"
